"","place","ward","dist_suffix","dist_nosuffix","pwd","wd","Ward_N","Dist20_N","Region20_N","Dist20_nosuffix","wdr20","wd20","pwd.dist","wd.dist","dist","dist_sum","accept","is.ward","is.district","Dist20_N.b","Region20_N.b","Dist20_nosuffix.b","Ward_N.b","accept.b","accept.c"
"491","kamalampaka","inyonga","mlele.dc","mlele","kamalampaka-inyonga-mlele","inyonga-mlele","inyonga","mlele.dc","katavi","mlele","inyonga-mlele-katavi","inyonga-mlele",0.473333333333333,0,NA,0.473333333333333,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"492","kamalmpaka","iñyonga","mlele.dc","mlele","kamalmpaka-iñyonga-mlele","iñyonga-mlele","inyonga","mlele.dc","katavi","mlele","inyonga-mlele-katavi","inyonga-mlele",0.313194444444444,0.092948717948718,NA,0.406143162393162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","kambanga","kibo","tanganyika.dc","tanganyika","kambanga-kibo-tanganyika","kibo-tanganyika","mabokweni","tanga.cc","tanga","tanga","mabokweni-tanga-tanga","mabokweni-tanga",0.279100529100529,0.230555555555556,NA,0.509656084656085,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","kambi.ya.fisi","napupa","masasi.dc","masasi","kambi.ya.fisi-napupa-masasi","napupa-masasi","nyasa","masasi.tc","mtwara","masasi","nyasa-masasi-mtwara","nyasa-masasi",0.380666766631679,0.132478632478632,NA,0.513145399110311,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","kamsabwa","kamsabwa","sumbawanga.dc","sumbawanga","kamsabwa-kamsabwa-sumbawanga","kamsabwa-sumbawanga","masaba","butiama.dc","mara","butiama","masaba-butiama-mara","masaba-butiama",0.268405388471178,0.253759398496241,NA,0.522164786967419,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","kamsamba","kamsamba","momba.dc","momba","kamsamba-kamsamba-momba","kamsamba-momba","kamsamba","momba.dc","songwe","momba","kamsamba-momba-songwe","kamsamba-momba",0.243314354727398,0,NA,0.243314354727398,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"497","kamsamba","kamsamba","sumbawanga.dc","sumbawanga","kamsamba-kamsamba-sumbawanga","kamsamba-sumbawanga","kamsamba","momba.dc","songwe","momba","kamsamba-momba-songwe","kamsamba-momba",0.240740740740741,0.170426065162907,NA,0.411166805903648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","kamsanga","igalula","tanganyika.dc","tanganyika","kamsanga-igalula-tanganyika","igalula-tanganyika","igagala","kaliua.dc","tabora","kaliua","igagala-kaliua-tabora","igagala-kaliua",0.275184147733167,0.145502645502646,NA,0.420686793235813,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","kamsisi","inyonga","mlele.dc","mlele","kamsisi-inyonga-mlele","inyonga-mlele","inyonga","mlele.dc","katavi","mlele","inyonga-mlele-katavi","inyonga-mlele",0.311904761904762,0,NA,0.311904761904762,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"500","kamsisi","kamsisi","mlele.dc","mlele","kamsisi-kamsisi-mlele","kamsisi-mlele","kisima","same.dc","kilimanjaro","same","kisima-same-kilimanjaro","kisima-same",0.307311330329233,0.223892773892774,NA,0.531204104222007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","kangabilili","kangabilili","itilima.dc","itilima","kangabilili-kangabilili-itilima","kangabilili-itilima","lagangabilili","itilima.dc","simiyu","itilima","lagangabilili-itilima-simiyu","lagangabilili-itilima",0.240943420378904,0.185533277638541,NA,0.426476698017445,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"502","kangaga","chang.ombe.mawindi","mbarali.dc","mbarali","kangaga-chang.ombe.mawindi-mbarali","chang.ombe.mawindi-mbarali","marambo","nachingwea.dc","lindi","nachingwea","marambo-nachingwea-lindi","marambo-nachingwea",0.266659562375675,0.271158035863918,NA,0.537817598239593,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","kangaga","mawindi","mbarali.dc","mbarali","kangaga-mawindi-mbarali","mawindi-mbarali","mawindi","mbarali.dc","mbeya","mbarali","mawindi-mbarali-mbeya","mawindi-mbarali",0.317115251897861,0,NA,0.317115251897861,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"504","kangilinja","badi","maswa.dc","maswa","kangilinja-badi-maswa","badi-maswa","badi","maswa.dc","simiyu","maswa","badi-maswa-simiyu","badi-maswa",0.411858076563959,0,NA,0.411858076563959,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"505","kanindi","majimoto","mpimbwe.dc","mpimbwe","kanindi-majimoto-mpimbwe","majimoto-mpimbwe","majimoto","mpimbwe.dc","katavi","mpimbwe","majimoto-mpimbwe-katavi","majimoto-mpimbwe",0.285310195779303,0,NA,0.285310195779303,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"506","kanindi","majimoto","sumbawanga.dc","sumbawanga","kanindi-majimoto-sumbawanga","majimoto-sumbawanga","mazwi","sumbawanga.mc","rukwa","sumbawanga","mazwi-sumbawanga-rukwa","mazwi-sumbawanga",0.341294893378227,0.177005012531328,NA,0.518299905909555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","kanindi","mamba","mpimbwe.dc","mpimbwe","kanindi-mamba-mpimbwe","mamba-mpimbwe","mamba","mpimbwe.dc","katavi","mpimbwe","mamba-mpimbwe-katavi","mamba-mpimbwe",0.291865079365079,0,NA,0.291865079365079,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"508","kanindi","mamba.a","mpimbwe.dc","mpimbwe","kanindi-mamba.a-mpimbwe","mamba.a-mpimbwe","mamba","mpimbwe.dc","katavi","mpimbwe","mamba-mpimbwe-katavi","mamba-mpimbwe",0.29381926683717,0.0444444444444445,NA,0.338263711281614,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"509","kanioga","lugelele","mbarali.dc","mbarali","kanioga-lugelele-mbarali","lugelele-mbarali","lugelele","mbarali.dc","mbeya","mbarali","lugelele-mbarali-mbeya","lugelele-mbarali",0.301346801346801,0,NA,0.301346801346801,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"510","kankelele","inyonya","mlele.dc","mlele","kankelele-inyonya-mlele","inyonya-mlele","inyonga","mlele.dc","katavi","mlele","inyonga-mlele-katavi","inyonga-mlele",0.361387163561077,0.0512820512820513,NA,0.412669214843128,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"511","kanoge","sibwesa","tanganyika.dc","tanganyika","kanoge-sibwesa-tanganyika","sibwesa-tanganyika","msambweni","tanga.cc","tanga","tanga","msambweni-tanga-tanga","msambweni-tanga",0.270582010582011,0.252421652421652,NA,0.523003663003663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","kanoge","utende","mlele.dc","mlele","kanoge-utende-mlele","utende-mlele","utende","mlele.dc","katavi","mlele","utende-mlele-katavi","utende-mlele",0.338731443994602,0,NA,0.338731443994602,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"513","kanoge","uzega","inyonga.dc","inyonga","kanoge-uzega-inyonga","uzega-inyonga","mungonya","kigoma.dc","kigoma","kigoma","mungonya-kigoma-kigoma","mungonya-kigoma",0.292992424242424,0.261383061383061,NA,0.554375485625486,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","kantawa","kipande","nkasi.dc","nkasi","kantawa-kipande-nkasi","kipande-nkasi","kipande","nkasi.dc","rukwa","nkasi","kipande-nkasi-rukwa","kipande-nkasi",0.277829991645781,0,NA,0.277829991645781,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"515","kanyaga.twenda","minepa","ulanga.dc","ulanga","kanyaga.twenda-minepa-ulanga","minepa-ulanga","minepa","ulanga.dc","morogoro","ulanga","minepa-ulanga-morogoro","minepa-ulanga",0.49025974025974,0,NA,0.49025974025974,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"516","kanyaga.twende","minepa","ulanga.dc","ulanga","kanyaga.twende-minepa-ulanga","minepa-ulanga","minepa","ulanga.dc","morogoro","ulanga","minepa-ulanga-morogoro","minepa-ulanga",0.49025974025974,0,NA,0.49025974025974,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"517","kanyaga.twende.na.minepa","minepa","ulanga.dc","ulanga","kanyaga.twende.na.minepa-minepa-ulanga","minepa-ulanga","minepa","ulanga.dc","morogoro","ulanga","minepa-ulanga-morogoro","minepa-ulanga",0.4865003417635,0,NA,0.4865003417635,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"518","kanyagatwende","minepa","ulanga.dc","ulanga","kanyagatwende-minepa-ulanga","minepa-ulanga","minepa","ulanga.dc","morogoro","ulanga","minepa-ulanga-morogoro","minepa-ulanga",0.485409652076319,0,NA,0.485409652076319,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"519","kaoze","kaoze","sumbawanga.dc","sumbawanga","kaoze-kaoze-sumbawanga","kaoze-sumbawanga","kaoze","sumbawanga.dc","rukwa","sumbawanga","kaoze-sumbawanga-rukwa","kaoze-sumbawanga",0.213804713804714,0,NA,0.213804713804714,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"520","kaoze","kipenta","sumbawanga.dc","sumbawanga","kaoze-kipenta-sumbawanga","kipenta-sumbawanga","kipeta","sumbawanga.dc","rukwa","sumbawanga","kipeta-sumbawanga-rukwa","kipeta-sumbawanga",0.267766336130181,0.0185185185185185,NA,0.286284854648699,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"521","kapalamsenga","kapalamsenga","tanganyika.dc","tanganyika","kapalamsenga-kapalamsenga-tanganyika","kapalamsenga-tanganyika","kapalamsenga","mpanda.dc","katavi","mpanda","kapalamsenga-mpanda-katavi","kapalamsenga-mpanda",0.192307692307692,0.154080854309687,NA,0.34638854661738,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","kapanga","katuma","tanganyika.dc","tanganyika","kapanga-katuma-tanganyika","katuma-tanganyika","katuma","mpanda.dc","katavi","mpanda","katuma-mpanda-katavi","katuma-mpanda",0.244901960784314,0.214177978883861,NA,0.459079939668175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","kaparamsenga","kaparamsenga","tanganyika.dc","tanganyika","kaparamsenga-kaparamsenga-tanganyika","kaparamsenga-tanganyika","kapalamsenga","mpanda.dc","katavi","mpanda","kapalamsenga-mpanda-katavi","kapalamsenga-mpanda",0.216802923324662,0.186117467581999,NA,0.402920390906661,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","karenga","mofu","mlimba.dc","mlimba","karenga-mofu-mlimba","mofu-mlimba","mafumbo","muleba.dc","kagera","muleba","mafumbo-muleba-kagera","mafumbo-muleba",0.329782790309106,0.242207792207792,NA,0.571990582516898,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","kasansa","kasansa","mpimbwe.dc","mpimbwe","kasansa-kasansa-mpimbwe","kasansa-mpimbwe","kasansa","mpimbwe.dc","katavi","mpimbwe","kasansa-mpimbwe-katavi","kasansa-mpimbwe",0.199916788017475,0,NA,0.199916788017475,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"526","kasekela","mfinga","sumbawanga.dc","sumbawanga","kasekela-mfinga-sumbawanga","mfinga-sumbawanga","mfinga","sumbawanga.dc","rukwa","sumbawanga","mfinga-sumbawanga-rukwa","mfinga-sumbawanga",0.305609341078449,0,NA,0.305609341078449,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"527","kasekese","kasekese","tanganyika.dc","tanganyika","kasekese-kasekese-tanganyika","kasekese-tanganyika","kisaka","serengeti.dc","mara","serengeti","kisaka-serengeti-mara","kisaka-serengeti",0.321895424836601,0.2484335839599,NA,0.570329008796501,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","kasekese","sibwesa","tanganyik.dc","tanganyik","kasekese-sibwesa-tanganyik","sibwesa-tanganyik","sibwesa","mpanda.dc","katavi","mpanda","sibwesa-mpanda-katavi","sibwesa-mpanda",0.363820207570208,0.189075630252101,NA,0.552895837822308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","kasekese","sibwesa","tanganyika.dc","tanganyika","kasekese-sibwesa-tanganyika","sibwesa-tanganyika","salawe","shinyanga.dc","shinyanga","shinyanga","salawe-shinyanga-shinyanga","salawe-shinyanga",0.324786324786325,0.222883597883598,NA,0.547669922669923,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","kashishi","ikuba","mpimbwe.dc","mpimbwe","kashishi-ikuba-mpimbwe","ikuba-mpimbwe","ikuba","mpimbwe.dc","katavi","mpimbwe","ikuba-mpimbwe-katavi","ikuba-mpimbwe",0.292424242424242,0,NA,0.292424242424242,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"531","kashishi","kashishi","mpimbwe.dc","mpimbwe","kashishi-kashishi-mpimbwe","kashishi-mpimbwe","kashishi","kaliua.dc","tabora","kaliua","kashishi-kaliua-tabora","kashishi-kaliua",0.267878787878788,0.236111111111111,NA,0.503989898989899,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","kashishi","kazagayu","itilima.dc","itilima","kashishi-kazagayu-itilima","kazagayu-itilima","zagayu","itilima.dc","simiyu","itilima","zagayu-itilima-simiyu","zagayu-itilima",0.298359788359788,0.0892857142857143,NA,0.387645502645503,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"533","kasisi","upendo","chunya.dc","chunya","kasisi-upendo-chunya","upendo-chunya","ifumbo","chunya.dc","mbeya","chunya","ifumbo-chunya-mbeya","ifumbo-chunya",0.408918128654971,0.205128205128205,NA,0.614046333783176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","kasoli","kasoli","bariadi.dc","bariadi","kasoli-kasoli-bariadi","kasoli-bariadi","kasoli","bariadi.dc","simiyu","bariadi","kasoli-bariadi-simiyu","kasoli-bariadi",0.215219421101774,0,NA,0.215219421101774,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"535","kasonso","nkomolo","nkasi.dc","nkasi","kasonso-nkomolo-nkasi","nkomolo-nkasi","nkomolo","nkasi.dc","rukwa","nkasi","nkomolo-nkasi-rukwa","nkomolo-nkasi",0.298663324979115,0,NA,0.298663324979115,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"536","kasu","chala","nkasi.dc","nkasi","kasu-chala-nkasi","chala-nkasi","chala","nkasi.dc","rukwa","nkasi","chala-nkasi-rukwa","chala-nkasi",0.255252100840336,0,NA,0.255252100840336,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"537","kasu","kandasi","nkasi.dc","nkasi","kasu-kandasi-nkasi","kandasi-nkasi","nkandasi","nkasi.dc","rukwa","nkasi","nkandasi-nkasi-rukwa","nkandasi-nkasi",0.27037037037037,0.139194139194139,NA,0.40956450956451,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"538","katangari","kitangari","newala.dc","newala","katangari-kitangari-newala","kitangari-newala","kitangari","newala.dc","mtwara","newala","kitangari-newala-mtwara","kitangari-newala",0.180389658650528,0,NA,0.180389658650528,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"539","katani","kandasi","nkasi.dc","nkasi","katani-kandasi-nkasi","kandasi-nkasi","nkandasi","nkasi.dc","rukwa","nkasi","nkandasi-nkasi-rukwa","nkandasi-nkasi",0.237254901960784,0.139194139194139,NA,0.376449041154924,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"540","kate","kate","nkasi.dc","nkasi","kate-kate-nkasi","kate-nkasi","kate","nkasi.dc","rukwa","nkasi","kate-nkasi-rukwa","kate-nkasi",0.209508547008547,0,NA,0.209508547008547,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"541","katuma","katuma","tanganyika.dc","tanganyika","katuma-katuma-tanganyika","katuma-tanganyika","katuma","mpanda.dc","katavi","mpanda","katuma-mpanda-katavi","katuma-mpanda",0.206045751633987,0.214177978883861,NA,0.420223730517848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","katumbila","katumbila","nkasi.dc","nkasi","katumbila-katumbila-nkasi","katumbila-nkasi","kaliua","kaliua.dc","tabora","kaliua","kaliua-kaliua-tabora","kaliua-kaliua",0.293921568627451,0.221367521367521,NA,0.515289089994972,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","kaulolo","inyonga","wilaya.dc","wilaya","kaulolo-inyonga-wilaya","inyonga-wilaya","nyangokolwa","bariadi.tc","simiyu","bariadi","nyangokolwa-bariadi-simiyu","nyangokolwa-bariadi",0.32983682983683,0.253759398496241,NA,0.583596228333071,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","kaunyala","usevya","mpimbwe.dc","mpimbwe","kaunyala-usevya-mpimbwe","usevya-mpimbwe","usevya","mpimbwe.dc","katavi","mpimbwe","usevya-mpimbwe-katavi","usevya-mpimbwe",0.307311330329233,0,NA,0.307311330329233,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"545","kavuo","mamba","mpimbwe.dc","mpimbwe","kavuo-mamba-mpimbwe","mamba-mpimbwe","mamba","mpimbwe.dc","katavi","mpimbwe","mamba-mpimbwe-katavi","mamba-mpimbwe",0.30906432748538,0,NA,0.30906432748538,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"546","kayenze","katuma","tanganyika.dc","tanganyika","kayenze-katuma-tanganyika","katuma-tanganyika","katuma","mpanda.dc","katavi","mpanda","katuma-mpanda-katavi","katuma-mpanda",0.290833333333333,0.214177978883861,NA,0.505011312217195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","kayenze","kunguru","magu.dc","magu","kayenze-kunguru-magu","kunguru-magu","nkungulu","magu.dc","mwanza","magu","nkungulu-magu-mwanza","nkungulu-magu",0.366666666666667,0.124514374514375,NA,0.491181041181041,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"548","khome","ibugule","bahi.dc","bahi","khome-ibugule-bahi","ibugule-bahi","ibugule","bahi.dc","dodoma","bahi","ibugule-bahi-dodoma","ibugule-bahi",0.351701904333483,0,NA,0.351701904333483,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"549","kiandaigonda","kaoze","sumbawanga.dc","sumbawanga","kiandaigonda-kaoze-sumbawanga","kaoze-sumbawanga","kaoze","sumbawanga.dc","rukwa","sumbawanga","kaoze-sumbawanga-rukwa","kaoze-sumbawanga",0.309519881207722,0,NA,0.309519881207722,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"550","kibaha","kibaha","kibaha.dc","kibaha","kibaha-kibaha-kibaha","kibaha-kibaha","kibaha","kibaha.tc","pwani","kibaha","kibaha-kibaha-pwani","kibaha-kibaha",0.140131578947368,0,NA,0.140131578947368,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"551","kibaha","soga","kibaha.dc","kibaha","kibaha-soga-kibaha","soga-kibaha","soga","kibaha.dc","pwani","kibaha","soga-kibaha-pwani","soga-kibaha",0.26384998443822,0,NA,0.26384998443822,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"552","kibaha.kiwandani","kibaha","kibaha.dc","kibaha","kibaha.kiwandani-kibaha-kibaha","kibaha-kibaha","kibaha","kibaha.tc","pwani","kibaha","kibaha-kibaha-pwani","kibaha-kibaha",0.243469785575049,0,NA,0.243469785575049,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"553","kibaoni","ifakara","ifakara.dc","ifakara","kibaoni-ifakara-ifakara","ifakara-ifakara","ifakara","ifakara.tc","morogoro","ifakara","ifakara-ifakara-morogoro","ifakara-ifakara",0.33756038647343,0,NA,0.33756038647343,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"554","kibaoni","kibaoni","ifakara.dc","ifakara","kibaoni-kibaoni-ifakara","kibaoni-ifakara","kibaoni","ifakara.tc","morogoro","ifakara","kibaoni-ifakara-morogoro","kibaoni-ifakara",0.252806194941745,0,NA,0.252806194941745,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"555","kibaoni","kibaoni","mpimbwe.dc","mpimbwe","kibaoni-kibaoni-mpimbwe","kibaoni-mpimbwe","kibaoni","mpimbwe.dc","katavi","mpimbwe","kibaoni-mpimbwe-katavi","kibaoni-mpimbwe",0.199916788017475,0,NA,0.199916788017475,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"556","kibaoni","melela","mvomero.dc","mvomero","kibaoni-melela-mvomero","melela-mvomero","melela","mvomero.dc","morogoro","mvomero","melela-mvomero-morogoro","melela-mvomero",0.34860836627141,0,NA,0.34860836627141,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"557","kibaoni","usevya","mpimbwe.dc","mpimbwe","kibaoni-usevya-mpimbwe","usevya-mpimbwe","usevya","mpimbwe.dc","katavi","mpimbwe","usevya-mpimbwe-katavi","usevya-mpimbwe",0.305916305916306,0,NA,0.305916305916306,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"558","kibaoni.mgahawani","kibaoni","ifakara.dc","ifakara","kibaoni.mgahawani-kibaoni-ifakara","kibaoni-ifakara","kibaoni","ifakara.tc","morogoro","ifakara","kibaoni-ifakara-morogoro","kibaoni-ifakara",0.2996632996633,0,NA,0.2996632996633,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"559","kibatula","mzia","mvomero.dc","mvomero","kibatula-mzia-mvomero","mzia-mvomero","kibati","mvomero.dc","morogoro","mvomero","kibati-mvomero-morogoro","kibati-mvomero",0.295397688060732,0.150793650793651,NA,0.446191338854383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","kibatula","mziha","mvomero.dc","mvomero","kibatula-mziha-mvomero","mziha-mvomero","kibati","mvomero.dc","morogoro","mvomero","kibati-mvomero-morogoro","kibati-mvomero",0.306941699604743,0.172161172161172,NA,0.479102871765915,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"561","kibatula.nyumbani","mziha","mvomero.dc","mvomero","kibatula.nyumbani-mziha-mvomero","mziha-mvomero","kibati","mvomero.dc","morogoro","mvomero","kibati-mvomero-morogoro","kibati-mvomero",0.408468576771522,0.172161172161172,NA,0.580629748932694,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"562","kiberenge","kiberenge","ifakara.dc","ifakara","kiberenge-kiberenge-ifakara","kiberenge-ifakara","kiberege","kilombero.dc","morogoro","kilombero","kiberege-kilombero-morogoro","kiberege-kilombero",0.276325344952796,0.236928104575163,NA,0.513253449527959,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","kiberenge.nyumbani","kiberenge","ifakara.dc","ifakara","kiberenge.nyumbani-kiberenge-ifakara","kiberenge-ifakara","kibimba","ngara.dc","kagera","ngara","kibimba-ngara-kagera","kibimba-ngara",0.301851851851852,0.259838201014672,NA,0.561690052866524,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","kibindu","kibindu","chalinze.dc","chalinze","kibindu-kibindu-chalinze","kibindu-chalinze","kibindu","chalinze.dc","pwani","chalinze","kibindu-chalinze-pwani","kibindu-chalinze",0.211390217969165,0,NA,0.211390217969165,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"565","kichangani","kichangani","ulanga.dc","ulanga","kichangani-kichangani-ulanga","kichangani-ulanga","kichangani","ulanga.dc","morogoro","ulanga","kichangani-ulanga-morogoro","kichangani-ulanga",0.258289955658377,0,NA,0.258289955658377,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"566","kichangani","mgeta","mlimba.dc","mlimba","kichangani-mgeta-mlimba","mgeta-mlimba","mtambile","mkoani","kusini.pemba","mkoani","mtambile-mkoani-kusini.pemba","mtambile-mkoani",0.339659535311709,0.237878787878788,NA,0.577538323190497,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","kichangani","viwanja.sitini","ifakara.dc","ifakara","kichangani-viwanja.sitini-ifakara","viwanja.sitini-ifakara","uvivini","kaskazini.a","kaskazini.unguja","kaskazini.a","uvivini-kaskazini.a-kaskazini.unguja","uvivini-kaskazini.a",0.333964646464647,0.287347155768208,NA,0.621311802232855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","kichangani.nyumbani","kichangani","ulanga.dc","ulanga","kichangani.nyumbani-kichangani-ulanga","kichangani-ulanga","kichangani","ulanga.dc","morogoro","ulanga","kichangani-ulanga-morogoro","kichangani-ulanga",0.30453733085312,0,NA,0.30453733085312,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"569","kidagulo","iragua","ulanga.dc","ulanga","kidagulo-iragua-ulanga","iragua-ulanga","iragua","ulanga.dc","morogoro","ulanga","iragua-ulanga-morogoro","iragua-ulanga",0.317234848484849,0,NA,0.317234848484849,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"570","kidalimanda","kidalimanda","bariadi.dc","bariadi","kidalimanda-kidalimanda-bariadi","kidalimanda-bariadi","kinampanda","iramba.dc","singida","iramba","kinampanda-iramba-singida","kinampanda-iramba",0.287844342037891,0.253685684800236,NA,0.541530026838127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","kidatu","kidatu","ifakara.dc","ifakara","kidatu-kidatu-ifakara","kidatu-ifakara","kidaru","iramba.dc","singida","iramba","kidaru-iramba-singida","kidaru-iramba",0.327380952380952,0.205494505494506,NA,0.532875457875458,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","kidinda","bariadi","bariadi.dc","bariadi","kidinda-bariadi-bariadi","bariadi-bariadi","bariadi","bariadi.tc","simiyu","bariadi","bariadi-bariadi-simiyu","bariadi-bariadi",0.262699458351632,0,NA,0.262699458351632,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"573","kidinda","kidi","bariadi.dc","bariadi","kidinda-kidi-bariadi","kidi-bariadi","kindai","singida.mc","singida","singida","kindai-singida-singida","kindai-singida",0.261742424242424,0.234126984126984,NA,0.495869408369408,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","kidinda","kidinda","bariadi.cc.mc.tc","bariadi","kidinda-kidinda-bariadi","kidinda-bariadi","kilalo","bariadi.dc","simiyu","bariadi","kilalo-bariadi-simiyu","kilalo-bariadi",0.348688750862664,0.16031746031746,NA,0.509006211180124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","kidinda","kidinda","bariadi.dc","bariadi","kidinda-kidinda-bariadi","kidinda-bariadi","kilalo","bariadi.dc","simiyu","bariadi","kilalo-bariadi-simiyu","kilalo-bariadi",0.348688750862664,0.16031746031746,NA,0.509006211180124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","kidinda","kidinda","bariadi.tc","bariadi","kidinda-kidinda-bariadi","kidinda-bariadi","kilalo","bariadi.dc","simiyu","bariadi","kilalo-bariadi-simiyu","kilalo-bariadi",0.348688750862664,0.16031746031746,NA,0.509006211180124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","kidinda.mnadani","kidinda","bariadi.tc","bariadi","kidinda.mnadani-kidinda-bariadi","kidinda-bariadi","nkindwabiye","bariadi.dc","simiyu","bariadi","nkindwabiye-bariadi-simiyu","nkindwabiye-bariadi",0.341582865351966,0.205179615705932,NA,0.546762481057897,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","kidoka","kidoka","nchemba.dc","nchemba","kidoka-kidoka-nchemba","kidoka-nchemba","goima","chemba.dc","dodoma","chemba","goima-chemba-dodoma","goima-chemba",0.329782790309106,0.184126984126984,NA,0.51390977443609,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","kidugalo","iragua","ulanga.dc","ulanga","kidugalo-iragua-ulanga","iragua-ulanga","iragua","ulanga.dc","morogoro","ulanga","iragua-ulanga-morogoro","iragua-ulanga",0.317234848484849,0,NA,0.317234848484849,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"580","kidugalo.nyumbani","iragua","ulanga.dc","ulanga","kidugalo.nyumbani-iragua-ulanga","iragua-ulanga","iragua","ulanga.dc","morogoro","ulanga","iragua-ulanga-morogoro","iragua-ulanga",0.363550112126962,0,NA,0.363550112126962,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
