"fid.see.mrktc.generalinfo.","unique.row.id.see.mrktc.generalinfo.","unique.row.id","1.what.are.the.activities.that.you.are.doing.in.this.market.today.","if.other.specify.5","type.of.place.see.mrktc.lkpsell.placetype.","if.other.specify","name.of.place.8","ward.9","district.10","3.what.is.your.main.reason.for.selling.these.sheep.and.or.goats.","if.other.specify.12","4.how.were.sheep.goats.transported.to.the.market.see.mrktc.lkpsell.trans.","if.other.specify.14","5.do.you.also.sell.other.animal.species.apart.from.sheep.and.goats.","if.yes.out.of.all.the.species.that.you.sell.which.species.do.you.sell.the.most.","if.other.specify.17","will.you.transport.the.sheep.goats.you.are.buying.today.","type.of.place.see.mrktc.lkpplacetype.","if.other.specify.20","name.of.place.21","ward.22","district.23","7.what.is.your.main.reason.for.buying.these.small.ruminants.","if.other.specify.25","8.how.will.you.transport.these.small.ruminants.that.you.are.buying.see.mrktc.lkpsell.trans.","if.other.specify.27","9.what.criteria.do.you.use.to.decide.which.small.ruminants.to.buy.","if.other.specify.29","10.what.other.species.of.animals.do.you.buy.apart.from.sheep.and.goats.","if.other.specify.31","11.if.the.prices.of.sheep.and.goats.increase.for.some.reason.e.g.a.shortage.of.animals.due.to.disease.will.you.still.buy.them.","if.no.which.other.species.will.you.consider.instead.","if.other.specify.34","if.yes.how.much.of.an.increase.in.the.current.price.of.sheep.and.goat.unit.price.of.live.animal.will.cause.you.to.change.your.purchasing.behaviour.to.another.animal.species","12.how.many.times.in.a.month.do.you.buy.or.sell.sheep.and.or.goats.in.this.market.","unique.row.identifier.uuid."
1148089,1,1,"2",NA,1,NA,"Mwasiabo","Mwamapalala","Itilima","2",NA,1,NA,0,NA,NA,1,1,NA,"Bunamhala","Nyamalapa","Itilima","1",NA,1,NA,"1 3 2",NA,NA,NA,1,NA,NA,2000,4,"4364b51f-dc0e-11ec-9416-9440c9ab47f0"
1148090,1,1,"1",NA,1,NA,"Bunamhala mbugani","Nyamalapa","Itilima","-66","Kupunguza idadi",1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46fb3fdd-dc0e-11ec-9416-9440c9ab47f0"
1148092,1,1,"1",NA,1,NA,"Nkololo","Mwamapalala","Itilima","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41a4f76d-dc0e-11ec-9416-9440c9ab47f0"
1148093,1,1,"1",NA,1,NA,"Mwamanyangu","Mwalushu","Itilima","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45db9441-dc0e-11ec-9416-9440c9ab47f0"
1148094,1,1,"3",NA,1,NA,"Nyamalapa","Nyamalapa","Itilima","2",NA,1,NA,0,NA,NA,1,1,NA,"Nyamalapa","Nyamalapa","Itilima","4 1",NA,1,NA,"5 1 3",NA,NA,NA,1,NA,NA,NA,4,"47ad7725-dc0e-11ec-9416-9440c9ab47f0"
1148095,1,1,"3",NA,1,NA,"Ngeme","Mwamapalala","Itilima","1",NA,1,NA,0,NA,NA,1,1,NA,"Ngeme","Mwamapalala","Itilima","1",NA,1,NA,"1 2",NA,NA,NA,0,NA,NA,NA,3,"44de5cf5-dc0e-11ec-9416-9440c9ab47f0"
1148097,1,1,"2",NA,1,NA,"Mwasiabo","Mwamapalala","Itilima","2",NA,1,NA,0,NA,NA,1,1,NA,"Mwasiabo","Mwamapalala","Itilima","1",NA,1,NA,"3 5",NA,NA,NA,0,NA,NA,NA,4,"40e6de6c-dc0e-11ec-9416-9440c9ab47f0"
1148098,1,1,"1",NA,1,NA,"Ngeme","Mwamapalala","Itilima","6",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3e097de3-dc0e-11ec-9416-9440c9ab47f0"
1148099,1,1,"1",NA,1,NA,"Bunamhala","Mwamapalala","Itilima","4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45ff7357-dc0e-11ec-9416-9440c9ab47f0"
1148100,1,1,"1",NA,1,NA,"Nyamalapa","Nyamalapa","Itilima","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36cb4543-dc0e-11ec-9416-9440c9ab47f0"
1148102,1,1,"1",NA,1,NA,"Mwamapalala","Mwamapalala","Itilima","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3ede43ee-dc0e-11ec-9416-9440c9ab47f0"
1148559,1,1,"1",NA,1,NA,"Chonde","Makanda","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27501fd8-dc16-11ec-9416-9440c9ab47f0"
1148560,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Hamia","Mpendo","Chemba","5",NA,1,NA,"4 6 5",NA,NA,NA,1,NA,NA,80000,1,"29217658-dc16-11ec-9416-9440c9ab47f0"
1148561,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"Dar es salaam","Kiwalani","Ilala","1",NA,2,NA,"-66","Uzuri wa mbuzi",NA,NA,1,NA,NA,80000,1,"474e3019-dc0e-11ec-9416-9440c9ab47f0"
1148562,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","6",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b77386e-dc0e-11ec-9416-9440c9ab47f0"
1148563,1,1,"3",NA,3,NA,"Makanda","Makanda","Bahi","1",NA,-66,"Nawanunua mnadani na nawauza hapahapa mnadani",0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,2,NA,"-66","Ukubwa na uzuri wa mbuzi",NA,NA,1,NA,NA,1e+05,1,"4475b7c7-dc0e-11ec-9416-9440c9ab47f0"
1148564,1,1,"1",NA,1,NA,"Mundemu","Mundemu","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3f642bbd-dc0e-11ec-9416-9440c9ab47f0"
1148565,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3f1169e6-dc0e-11ec-9416-9440c9ab47f0"
1148566,1,1,"1",NA,1,NA,"Lamaiti","Lamaiti","Bahi","6",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3c66fa42-dc0e-11ec-9416-9440c9ab47f0"
1148567,1,1,"1",NA,1,NA,"Hamia","Mpendo","Chemba","3",NA,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3d15cc3d-dc0e-11ec-9416-9440c9ab47f0"
1148568,1,1,"1",NA,1,NA,"Makanda","Makanda","Makanda","2",NA,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43935cc9-dc0e-11ec-9416-9440c9ab47f0"
1148569,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3711c8c6-dc0e-11ec-9416-9440c9ab47f0"
1148570,1,1,"1",NA,1,NA,"Lukali",NA,"Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3f021b64-dc0e-11ec-9416-9440c9ab47f0"
1148571,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Chonde","Manda","Manda","3",NA,1,NA,"-66","Uzito na mwili",NA,NA,1,NA,NA,80000,1,"362752b3-dc0e-11ec-9416-9440c9ab47f0"
1148572,1,1,"-66","Nanunua nachinja na kuuza nyama mnadani",3,NA,"Makanda","Makanda","Bahi","2",NA,-66,"Sisafirishi nauza nyama tu hapahapa",0,NA,NA,0,NA,NA,NA,NA,NA,"6 8",NA,-66,"Sisafirishi nauza nyama hapahapa mnadani","-66","Uzito na ukubwa wa mnyama",NA,NA,1,NA,NA,80000,1,"3997b99e-dc0e-11ec-9416-9440c9ab47f0"
1148573,1,1,"3",NA,3,NA,"Makanda","Makanda","Bahi","1",NA,-66,"Nawnujulia mnadani na kuwasafirisha",0,NA,NA,1,3,NA,"Kizota",NA,"Bahi","1",NA,2,NA,"-66","Ukubwa  wa mbuzi tu",NA,NA,1,NA,NA,3e+05,1,"3fec0852-dc0e-11ec-9416-9440c9ab47f0"
1148574,1,1,"3",NA,3,NA,"Makanda","Makanda","Bahi","1",NA,-66,"Nawanunua na kuwauza hapahap",0,NA,NA,0,NA,NA,NA,NA,NA,"-66","Nanunua na kuuza  tu",-66,"Nawauza hapahapa siondoki na mbuzi wala kondoo","-66","Ukubwa na uzito",NA,NA,1,NA,NA,250000,1,"3b1cdf33-dc0e-11ec-9416-9440c9ab47f0"
1148575,1,1,"3",NA,3,NA,"Makanda","Makanda","Bahi","1",NA,-66,"Nanunua hapa na naenda kuuza mnada wa upili",0,NA,NA,1,3,NA,"Kizota",NA,"Bahi","1",NA,2,NA,"-66","Ukubwa wa mbuzi",NA,NA,1,NA,NA,3e+05,1,"4204a71d-dc0e-11ec-9416-9440c9ab47f0"
1148615,1,1,"1",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"266b3c69-dc16-11ec-9416-9440c9ab47f0"
1148616,1,1,"3",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2 1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,1,NA,"1 3 2",NA,NA,NA,0,NA,NA,NA,1,"2681769b-dc16-11ec-9416-9440c9ab47f0"
1148617,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22f32ebf-dc16-11ec-9416-9440c9ab47f0"
1148618,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26788b02-dc16-11ec-9416-9440c9ab47f0"
1148619,1,1,"-66","Kutembelea na kuona soko la mbuzi na kondoo",1,NA,"Makanda","Makanda","Manyoni",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"3",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"2f948e37-dc16-11ec-9416-9440c9ab47f0"
1148620,1,1,"1",NA,1,NA,"Lamaiti","Lamaiti","Bahi","2 5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25141f43-dc16-11ec-9416-9440c9ab47f0"
1148621,1,1,"1 3",NA,1,NA,"Lamaiti","Lamaiti","Bahi","2 1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1 3 4",NA,NA,NA,0,NA,NA,NA,2,"2e55b060-dc16-11ec-9416-9440c9ab47f0"
1148622,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","2",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"226e227e-dc16-11ec-9416-9440c9ab47f0"
1148623,1,1,"1 3",NA,1,NA,"Hamia","Mpendo","Chemba","2 5",NA,-66,"Pikipiki",0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1 3 2",NA,"4",NA,NA,NA,NA,NA,3,"2881f6ed-dc16-11ec-9416-9440c9ab47f0"
1148624,1,1,"1",NA,1,NA,"Bankoro","Lamaiti","Bahi","2 5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24a85505-dc16-11ec-9416-9440c9ab47f0"
1148625,1,1,"1",NA,1,NA,"Bankoro","Lamaiti","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2826870e-dc16-11ec-9416-9440c9ab47f0"
1148626,1,1,"1 3",NA,1,NA,"Chilungule","Mundemu","Bahi","1 2",NA,2,NA,0,NA,NA,1,1,NA,"Chilungule","Mundemu","Bahi","1 2",NA,NA,NA,"3 1",NA,"1",NA,0,NA,NA,NA,3,"2446c506-dc16-11ec-9416-9440c9ab47f0"
1148737,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47761efc-dc0e-11ec-9416-9440c9ab47f0"
1148738,1,1,"3",NA,1,NA,"Makanda ya Manyoni","Makanda","Manyoni","1 2",NA,1,NA,1,"1",NA,1,1,NA,"Makanda  ya Manyoni","Makanda",NA,"1 2",NA,-66,"Pikipiki","3 4 2",NA,"1",NA,1,NA,NA,2e+05,1,"3ac421b1-dc0e-11ec-9416-9440c9ab47f0"
1148739,1,1,"3",NA,2,NA,"Dodoma","Dodoma","Dodoma","1 2",NA,1,NA,1,"1",NA,1,-66,"Napeleka minada mwingine",NA,NA,NA,"1 5",NA,1,NA,"1 3 2",NA,"1",NA,1,NA,NA,NA,1,"4743799c-dc0e-11ec-9416-9440c9ab47f0"
1148740,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Bankolo","Lamaiti","Bahi","5",NA,-66,"Pikipiki","1 2 3 4",NA,"-66","Hapana",0,"-66","Hapana",NA,NA,"41b66b68-dc0e-11ec-9416-9440c9ab47f0"
1148741,1,1,"1",NA,1,NA,"Makanda","Makanda","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37d5715e-dc0e-11ec-9416-9440c9ab47f0"
1148742,1,1,"1",NA,1,NA,"Lamaiti","Lamaiti","Bahi","2 3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3ce6b4a4-dc0e-11ec-9416-9440c9ab47f0"
1148743,1,1,"2",NA,1,NA,"Lamaiti","Lamaiti","Bahi","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Sisafirishi","1 2 3 4",NA,"-66","Hapana",1,NA,NA,NA,1,"42cb7387-dc0e-11ec-9416-9440c9ab47f0"
1148744,1,1,"1",NA,1,NA,"Maziwa","Maziwa","Nchemba","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3ebd1064-dc0e-11ec-9416-9440c9ab47f0"
1148745,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Maziwa","Maziwa","Bahi","5 3",NA,1,NA,"1 2 3 4",NA,"1 4",NA,0,"4 1",NA,NA,NA,"3eed8ae7-dc0e-11ec-9416-9440c9ab47f0"
1148746,1,1,"3",NA,2,NA,"Dodoma","Kizota","Dodoma mjini","1",NA,2,NA,0,NA,NA,1,2,NA,"Dodoma  na dar es salaam",NA,"Dodoma,  Dar es salaam","1",NA,2,NA,"1 2 3 4 5",NA,"-66","Hapana",1,NA,NA,3e+05,1,"42ad3eb7-dc0e-11ec-9416-9440c9ab47f0"
1148747,1,1,"1",NA,1,NA,"Mpendo",NA,"Nchemba","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47634a51-dc0e-11ec-9416-9440c9ab47f0"
1148748,1,1,"1",NA,1,NA,"Bankolo","Lamaiti","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3f92e9b7-dc0e-11ec-9416-9440c9ab47f0"
1148749,1,1,"2",NA,1,NA,"Bankolo","Lamaiti","Bahi","1",NA,1,NA,1,"1",NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Sisafirishi","1 2 3 4",NA,"1",NA,1,NA,NA,NA,1,"38225315-dc0e-11ec-9416-9440c9ab47f0"
1148750,1,1,"1",NA,1,NA,"Bankolo","Lamaiti","Bahi","2 3 4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"381d2d5e-dc0e-11ec-9416-9440c9ab47f0"
1148751,1,1,"3",NA,3,NA,"Makanda","Makanda","Makanda","1",NA,-66,"Nimewakuta hapa hapa  mnadani",0,NA,NA,0,NA,NA,NA,NA,NA,"6",NA,-66,"Sisafirishi","3 1 2",NA,"4 5",NA,0,"3 4",NA,NA,1,"3f31a77d-dc0e-11ec-9416-9440c9ab47f0"
1148811,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Isanga","Isanga","Bariadi mji","5",NA,2,NA,"3 1 2",NA,NA,NA,0,NA,NA,NA,4,"3d9ad4a6-dc0e-11ec-9416-9440c9ab47f0"
1148812,1,1,"3",NA,1,NA,"Lubaga","Dutwa","Bariadi DC","1",NA,1,NA,0,NA,NA,1,1,NA,"Lubaga","Dutwa","Bariadi DC","1",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,4,"398f4663-dc0e-11ec-9416-9440c9ab47f0"
1148813,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Mwamigongwa","Malili","Bariadi dc","5",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,1,"3fb64436-dc0e-11ec-9416-9440c9ab47f0"
1148814,1,1,"3",NA,1,NA,"Igaganulwa","Dutwa","Bariadi DC","1",NA,1,NA,0,NA,NA,1,1,NA,"Igaganulwa","Dutwa","Bariadi DC","1",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,4,"43b3e25e-dc0e-11ec-9416-9440c9ab47f0"
1148815,1,1,"1",NA,1,NA,"Wamabu","Dutwa","Bariadi DC","1",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"426a9c69-dc0e-11ec-9416-9440c9ab47f0"
1148816,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Ibanda","Dutwa","Bariadi DC","5",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,1,"3f0de5f9-dc0e-11ec-9416-9440c9ab47f0"
1148817,1,1,"3",NA,1,NA,"Dutwa","Dutwa","Bariadi DC","1",NA,2,NA,1,NA,NA,1,2,NA,"Igoma","Igoma","Nyamagana","1",NA,2,NA,"1 3 4",NA,"1",NA,1,NA,NA,5000,4,"3e925989-dc0e-11ec-9416-9440c9ab47f0"
1148818,1,1,"3",NA,1,NA,"Ng`wang`ali","Nyangokolwa","Bariadi mji","1 2",NA,1,NA,1,NA,NA,1,1,NA,"Ng,wang,wali","Nyangokolwa","Bariadi mji","1",NA,1,NA,"1 2 3",NA,"1",NA,0,NA,NA,NA,2,"3cd7b6bd-dc0e-11ec-9416-9440c9ab47f0"
1148819,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"N`gwang`wale","Kamondo","Bariadi mji","5 8",NA,1,NA,"1 2 3 4 5",NA,NA,NA,0,NA,NA,NA,1,"460f050a-dc0e-11ec-9416-9440c9ab47f0"
1148820,1,1,"3",NA,1,NA,"Igaganulwa","Dutwa","Bariadi DC","1",NA,1,NA,0,NA,NA,1,1,NA,"Igaganulwa","Dutwa","Dutwa","1",NA,1,NA,"1 3 4",NA,NA,NA,0,NA,NA,NA,4,"3a78ae8b-dc0e-11ec-9416-9440c9ab47f0"
1148821,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Kalago","Lamadi","Busega","5",NA,1,NA,"1 5 3 -66","Nachagua majike wengi lakini pia naangalia walio karibu kuzaa","4",NA,0,"4",NA,NA,4,"39f1d734-dc0e-11ec-9416-9440c9ab47f0"
1148822,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Kidinda","Kidi","Bariadi","1",NA,2,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,4,"38a92ae6-dc0e-11ec-9416-9440c9ab47f0"
1148823,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Nyamswa","Nyamuswa","Bariadi mji","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3c7ef2b4-dc0e-11ec-9416-9440c9ab47f0"
1148824,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Ngasamo","Ngasamo","Busega","5",NA,1,NA,"1 4 3",NA,NA,NA,0,NA,NA,NA,1,"39f7fa8c-dc0e-11ec-9416-9440c9ab47f0"
1148825,1,1,"1",NA,1,NA,"Gasima","Gasuma","Bariadi dc","2 4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4418de70-dc0e-11ec-9416-9440c9ab47f0"
1148826,1,1,"1",NA,1,NA,"Igaganulwa","Dutwa","Bariadi DC","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"428576c8-dc0e-11ec-9416-9440c9ab47f0"
1148827,1,1,"1",NA,1,NA,"Nyawa","Gilya","Bariadi dc","2 4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3d41b2a6-dc0e-11ec-9416-9440c9ab47f0"
1148828,1,1,"3",NA,2,NA,"Kidinda","Kidinda","Bariadi mji","1 2",NA,1,NA,0,NA,NA,1,1,NA,"Ng`wang`ali","Nyangokolwa","Bariadi mji","1",NA,1,NA,"1 3",NA,NA,NA,0,NA,NA,NA,4,"3d3b540f-dc0e-11ec-9416-9440c9ab47f0"
1148829,1,1,"1",NA,1,NA,"Nkindwabiye","Nkindwabiye","Bariadi dc","2 3 4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37e036ec-dc0e-11ec-9416-9440c9ab47f0"
1148830,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Igaganulwa","Dutwa","Bariadi DC","5",NA,1,NA,"1 5 3",NA,NA,NA,0,NA,NA,NA,1,"3bfc9ea2-dc0e-11ec-9416-9440c9ab47f0"
1148831,1,1,"3",NA,3,NA,"Dutwa","Dutwa","Bariadi dc","1",NA,1,NA,0,NA,NA,1,2,NA,"Nyakabindi","Nyakabindi","Bariadi tc","1 6",NA,1,NA,"2 3",NA,NA,NA,NA,NA,NA,NA,4,"3deb4bdf-dc0e-11ec-9416-9440c9ab47f0"
1148832,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Igaganulwa","Dutwa","Bariadi DC","5",NA,1,NA,"1 2 3 5",NA,NA,NA,0,NA,NA,NA,1,"43e256be-dc0e-11ec-9416-9440c9ab47f0"
1148833,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"Nyashimo","Nyashimo","Busega","5",NA,2,NA,"3 2",NA,NA,NA,NA,NA,NA,NA,4,"3f9c8a97-dc0e-11ec-9416-9440c9ab47f0"
1148834,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"Igoma","Igoma","Nyamagana","5",NA,2,NA,"1 3 2",NA,NA,NA,0,NA,NA,NA,4,"3e7fcc62-dc0e-11ec-9416-9440c9ab47f0"
1148835,1,1,"1",NA,1,NA,"Kinabusu","Gilya","Bariadi DC","3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3dd4f6dc-dc0e-11ec-9416-9440c9ab47f0"
1148836,1,1,"1",NA,1,NA,"Dutwa","Dutwa","Bariadi DC","4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45b13dc8-dc0e-11ec-9416-9440c9ab47f0"
1148837,1,1,"3",NA,3,NA,"Dutwa","Dutwa","Bariadi dc","1",NA,2,NA,0,NA,NA,1,3,NA,"Igoma","Ilemela","Ilemela","1",NA,2,NA,"3 2",NA,NA,NA,1,NA,NA,15000,4,"3f5b39be-dc0e-11ec-9416-9440c9ab47f0"
1148838,1,1,"3",NA,1,NA,"Igaganulwa","Dutwa","Bariadi DC","1",NA,2,NA,0,NA,NA,1,2,NA,"Dutwa","Dutwa","Bariadi DC","1",NA,1,NA,"1 2 3",NA,NA,NA,0,NA,NA,NA,4,"44e61af0-dc0e-11ec-9416-9440c9ab47f0"
1148839,1,1,"1",NA,1,NA,"Byuna","Mwadobana","Bariadi dc","2 4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4465aad9-dc0e-11ec-9416-9440c9ab47f0"
1148840,1,1,"3",NA,3,NA,"Dutwa","Dutwa","Bariadi dc","-66","Kuchinja",1,NA,0,NA,NA,1,1,NA,"Gasuma","Gasuma","Baruadi dc","6",NA,1,NA,"3 2",NA,NA,NA,0,"-66","Sitanunua mfugo yeyote",NA,4,"39cf3229-dc0e-11ec-9416-9440c9ab47f0"
1148841,1,1,"3",NA,3,NA,"Dutwa","Dutwa","Bariadi dc","1",NA,2,NA,0,NA,NA,1,2,NA,"Kuuza kenya","Silali","Silali","7",NA,NA,NA,"3 2",NA,NA,NA,1,NA,NA,5000,4,"3cf44947-dc0e-11ec-9416-9440c9ab47f0"
